證券代碼,名稱,數據天數,完整歷史天數,資料期間 (年),1年年化報酬率 (%),3年年化報酬率 (%),Alpha,Beta,夏普比率,年化波動率 (%),最大回撤 (%),追蹤誤差 (%),1年夏普比率,1年年化波動率 (%),1年最大回撤 (%),1年追蹤誤差 (%),換手率 (%),管理費 (%),股息殖利率 (%)
00981A.TW,主動統一台股增長,97,136,0.38,69.57,9999,36.73,0.82,1.91,23.02,-6.93,18.51,1.91,23.02,-6.93,18.51,75,1.32,0.9
00980A.TW,主動野村台灣優選,117,172,0.46,55.45,9999,5.1,0.77,1.66,18.75,-7.83,12.94,1.66,18.75,-7.83,12.94,80,0.785,1.2
00982A.TW,主動群益台灣強棒,117,159,0.46,46.34,9999,-20.58,0.99,1.2,25.3,-13.41,17.23,1.2,25.3,-13.41,17.23,70,0.835,1.1
00985A.TW,主動野村台灣50,117,118,0.46,40.1,9999,22.26,0.87,2.14,18.67,-5.84,9.62,2.14,18.67,-5.84,9.62,78,0.485,1.4
00983A.TW,主動中信ARK創新,117,141,0.46,22.44,9999,-66.48,0.91,0.4,26.22,-16.19,19.99,0.4,26.22,-16.19,19.99,25,1.0,0.5
00986A.TW,主動台新龍頭成長,91,91,0.36,19.02,9999,-11.59,0.62,0.96,18.2,-6.51,15.59,0.96,18.2,-6.51,15.59,68,0.95,1.15
00984A.TW,主動安聯台灣高息,117,123,0.46,16.27,9999,-5.74,0.42,1.23,11.93,-4.6,14.16,1.23,11.93,-4.6,14.16,85,0.74,1.3
00991A.TW,主動復華未來50,14,14,0.06,9.11,9999,N/A,N/A,0.44,17.26,-1.4,23.01,0.44,17.26,-1.4,23.01,65,0.9,1.0
00988A.TW,主動統一全球創新,45,45,0.18,4.91,9999,-58.09,1.1,0.12,29.13,-8.51,18.38,0.12,29.13,-8.51,18.38,50,1.05,0.6
00989A.TW,主動摩根美國科技,54,54,0.21,2.7,9999,-45.69,0.84,0.05,25.36,-11.17,19.0,0.05,25.36,-11.17,19.0,55,1.1,0.55
